Scopus-415-Analyze-Subject

"Your query : (TITLE-ABS-KEY(emoji OR emoticon))"


Number of results : 415

"SUBJECT AREA",
"Computer Science","283"
"Social Sciences","90"
"Engineering","57"
"Mathematics","55"
"Arts and Humanities","50"
"Psychology","43"
"Medicine","33"
"Decision Sciences","16"
"Biochemistry, Genetics and Molecular Biology","14"
"Business, Management and Accounting","13"
"Agricultural and Biological Sciences","9"
"Nursing","9"
"Physics and Astronomy","6"
"Economics, Econometrics and Finance","5"
"Multidisciplinary","5"
"Neuroscience","5"
"Pharmacology, Toxicology and Pharmaceutics","4"
"Chemistry","3"
"Energy","3"
"Environmental Science","2"
"Materials Science","2"
"Chemical Engineering","1"
"Earth and Planetary Sciences","1"
